観測点番号,震度発表名称,機関,緯度,経度,メッシュコード,JCODE,AVS,ARV
1000000,石狩市花川,気象庁,43.1714,141.3157,6441620532,16,260.2,1.4425
1000001,石狩市聚富,気象庁,43.2753,141.4175,6441733312,8,386.1,1.0306
1000020,石狩市厚田＊,防災科研,43.4001,141.434597,6541038422,8,414.5,0.9701
1000021,石狩市浜益＊,防災科研,43.6015,141.3882,6541332111,8,448.4,0.9072
1000022,石狩市花畔＊,防災科研,43.1721,141.304597,6441620432,16,260.2,1.4425
1000120,当別町白樺＊,防災科研,43.2237,141.517097,6441646134,13,165.6,2.12
1000230,新篠津村第４７線（旧）＊,自治体,43.23,141.65,6441657231,12,201.4,1.7942
1000231,新篠津村第４７線＊,自治体,43.2254,141.6492,6441657122,12,199.3,1.8103
1010000,札幌中央区北２条,気象庁,43.0604,141.3289,6441427612,11,292.9,1.3041
1010040,札幌中央区南４条＊,自治体,43.0548,141.3426,6441426732,11,297.2,1.2881
1010120,札幌北区太平＊,防災科研,43.139,141.3513,6441526831,13,149,2.319
1010140,札幌北区篠路＊,自治体,43.143,141.3579,6441527821,13,150.6,2.298
1010141,札幌北区新琴似＊,自治体,43.1137,141.3304,6441523632,13,155.5,2.2364
1010240,札幌東区元町（旧）＊,自治体,43.1,141.37,6441522921,13,156.6,2.2235
1010241,札幌東区元町＊,自治体,43.0946,141.3743,6441521924,13,158.3,2.2027
1010330,札幌白石区本郷通＊,自治体,43.05,141.4,6441436211,5,262.6,1.431
1010340,札幌白石区北郷＊,自治体,43.0578,141.4185,6441436334,5,256.9,1.4584
1010440,札幌豊平区月寒東＊,自治体,43.0309,141.4003,6441433231,5,268.2,1.4057
1010520,札幌南区定山渓温泉＊,防災科研,42.972097,141.165097,6441316331,8,525.6,0.7924
1010540,札幌南区真駒内＊,自治体,42.98,141.35,6441327742,11,351.2,1.1173
1010541,札幌南区簾舞＊,自治体,42.97,141.25,6441326013,1,641.3,0.6689
